"service","main","aliasesCreated","averageCommitment","baseTarget","blockHeight","blockReward","burnedFunds","circulatingFunds","description","featured","fees","holders","isCrypto","maxTotalSupply","name","price","smartContractsCreated","subscriptionPaymentsCount","subscriptionsCreated","testnetBlockHeight","tokensCreated","totalTransactions","trades","transfers","version"
"signum","mining","","1041693081600","1311228","","100","","","","","","","","","","0.001138","","","","","","","","",""
"signum","node","62389","","","1228259","","1036042.61069146","2162699057.3893085","","","{""standard"":{""S"":""2000000""},""priority"":{""S"":""3000000""},""minimal"":{""S"":""1000000""}}","","","","","0.001138","70091","151104","265","628687","692","10384079","","","v3.7.3"
"currency","ADA","","","","","","","","","","","","true","","Cardano","0.5971","","","","","","","","",""
"currency","ARRR","","","","","","","","","","","","true","","Pirate Chain","0.1858","","","","","","","","",""
"currency","ARS","","","","","","","","","","","","false","","Argentine peso","808.48","","","","","","","","",""
"currency","AUD","","","","","","","","","","","","false","","Australian dollar","1.4683","","","","","","","","",""
"currency","BLOOM","","","","","","","","In Nivok we trust?","false","","15","true","494","BLOOM","0.47795999999999994","","","","","","","82","12",""
"currency","BNB","","","","","","","","","","","","true","","Binance Coin","317.73","","","","","","","","",""
"currency","BRL","","","","","","","","","","","","false","","Brazilian Real","4.8529","","","","","","","","",""
"currency","BTC","","","","","","","","","","","","true","","Bitcoin","42008.02","","","","","","","","",""
"currency","BTFGCAKE","","","","","","","","","false","","","true","","BTFGCAKE","0.000569","","","","","","","","",""
"currency","BTFGFARM","","","","","","","","","false","","","true","","BTFGFARM","0.11377724","","","","","","","","",""
"currency","CAD","","","","","","","","","","","","false","","Canadian dollar","1.3239","","","","","","","","",""
"currency","CHF","","","","","","","","","","","","false","","Swiss franc","0.8403","","","","","","","","",""
"currency","CHSB","","","","","","","","","","","","true","","SwissBorg","0.1","","","","","","","","",""
"currency","CLMSI","","","","","","","","CLMSI holders get a proportional share of the rewards gained from holding LMSI","false","","0","true","0","CLMSI","0.05689999999999999","","","","","","","0","0",""
"currency","CLP","","","","","","","","","","","","false","","Chilean peso","884.7207","","","","","","","","",""
"currency","CNY","","","","","","","","","","","","false","","Chinese Yuan","7.1137","","","","","","","","",""
"currency","COP","","","","","","","","","","","","false","","Colombian peso","3870.1484","","","","","","","","",""
"currency","CRC","","","","","","","","","","","","false","","Costa Rican colón","517.3504","","","","","","","","",""
"currency","DKK","","","","","","","","","","","","false","","Danish krone","6.7454","","","","","","","","",""
"currency","DOGE","","","","","","","","","","","","true","","Dogecoin","0.08955","","","","","","","","",""
"currency","DOP","","","","","","","","","","","","false","","Dominican peso","56.9983","","","","","","","","",""
"currency","DOT","","","","","","","","","","","","true","","Polkadot","8.184","","","","","","","","",""
"currency","ERG","","","","","","","","","","","","true","","Ergo","1.715","","","","","","","","",""
"currency","ETH","","","","","","","","","","","","true","","Ethereum","2280.52","","","","","","","","",""
"currency","EUR","","","","","","","","","","","","false","","Euro","0.9051","","","","","","","","",""
"currency","FIL","","","","","","","","","","","","true","","Filecoin","6.075","","","","","","","","",""
"currency","FZT","","","","","","","","","","","","true","","Forex Zone Token","0.00854638","","","","","","","","",""
"currency","GBP","","","","","","","","","","","","false","","Pound sterling","0.7855","","","","","","","","",""
"currency","HKD","","","","","","","","","","","","false","","Hong Kong dollar","7.811","","","","","","","","",""
"currency","IDR","","","","","","","","","","","","false","","Indonesian Rupiah","15407.8954","","","","","","","","",""
"currency","ILS","","","","","","","","","","","","false","","Israeli Shekel","3.6233","","","","","","","","",""
"currency","INR","","","","","","","","","","","","false","","Indian Rupee","83.227","","","","","","","","",""
"currency","IRR","","","","","","","","","","","","false","","Iranian rial","42091.9987","","","","","","","","",""
"currency","JPY","","","","","","","","","","","","false","","Japanese Yen","141.2259","","","","","","","","",""
"currency","KRW","","","","","","","","","","","","false","","Korean Republic Won","1295.9897","","","","","","","","",""
"currency","LINK","","","","","","","","","","","","true","","Chainlink","15.05","","","","","","","","",""
"currency","LMSI","","","","","","","","","","","","true","","LMSI","5.6899999999999995","","","","","","","","",""
"currency","LTC","","","","","","","","","","","","true","","Litecoin","72.51","","","","","","","","",""
"currency","MSPACE","","","","","","","","Bonus token for spacepool.lmsi.club miners prepared to join us in our journey across the Multi-Verse","false","","0","true","0","MSPACE","0.000033570999999999994","","","","","","","0","0",""
"currency","MXN","","","","","","","","","","","","false","","Mexican peso","16.9542","","","","","","","","",""
"currency","NGN","","","","","","","","","","","","false","","Nigerian Naira","915.1285","","","","","","","","",""
"currency","NOK","","","","","","","","","","","","false","","Norwegian Krone","10.1677","","","","","","","","",""
"currency","PIZZA","","","","","","","","","false","","","true","","PIZZA","0.00029018999999999996","","","","","","","","",""
"currency","RUB","","","","","","","","","","","","false","","Russian Ruble","90.8721","","","","","","","","",""
"currency","RVN","","","","","","","","","","","","true","","Ravencoin","0.02154","","","","","","","","",""
"currency","SEK","","","","","","","","","","","","false","","Swedish krona","10.06","","","","","","","","",""
"currency","SIGNA","","","","","","","","","","","","true","","Signum","0.001138","","","","","","","","",""
"currency","SOL","","","","","","","","","","","","true","","Solana","100.22","","","","","","","","",""
"currency","SPACE","","","","","","","","","false","","119","true","851022.75","SPACE","0.00034139999999999995","","","","","","","443","4805",""
"currency","TLM","","","","","","","","","","","","true","","Alien Worlds Trilium","0.01849","","","","","","","","",""
"currency","TMG","","","","","","","","TMG is a native token on the Signum Blockchain created by a smart contract","false","","0","true","0","TMG","0.21963399999999997","","","","","","","0","0",""
"currency","TRT","","","","","","","","The trade reward token. Offer makers are rewarded and holders receive earnings coming from the decentralized trade fees.","true","","560","true","108450654","TRT","0.0005012889999999999","","","","","","","4934","4630",""
"currency","TRY","","","","","","","","","","","","false","","Turkish lira","29.5421","","","","","","","","",""
"currency","UAH","","","","","","","","","","","","false","","Ukrainian Hryvnia","37.9814","","","","","","","","",""
"currency","UNI","","","","","","","","","","","","true","","Uniswap","7.357","","","","","","","","",""
"currency","USD","","","","","","","","","","","","false","","United States Dollar","1","","","","","","","","",""
"currency","WAXP","","","","","","","","","","","","true","","WAX","0.0692","","","","","","","","",""
"currency","XCH","","","","","","","","","","","","true","","Chia","38.18","","","","","","","","",""
"currency","XLM","","","","","","","","","","","","true","","Stellar","0.1313","","","","","","","","",""
"currency","XMR","","","","","","","","","","","","true","","Monero","165.6","","","","","","","","",""
"currency","XRP","","","","","","","","","","","","true","","Ripple","0.619","","","","","","","","",""